date,manufacturing_sales,exports_total,gdp_monthly,employment,cpi_all_items,avg_weekly_earnings,unemployment_rate,usdcad,overnight_rate,bond_yield_10yr
2000-02-29,,,-0.16833176946682119,0.01757303541807093,1.1846128975923982,-0.7608847282194774,0.2466475578749105,,,
2000-03-31,,,0.6780336737016547,0.06128597339399664,1.447635029036209,-0.1869033598436317,0.0023490243607134195,,,
2000-04-30,,,-0.2909823696890918,0.060200719693231146,-1.2949263977135466,0.7921876263440787,-0.48624804266767857,,,
2000-05-31,,,0.406044141713007,-0.026906213500823863,0.6214425069015587,-1.658296190768219,-0.24194950915348365,,,
2000-06-30,,,0.207922769952899,-0.051894101224972636,1.1602305176751158,-0.9269209634021235,0.2466475578749105,,,
2000-07-31,,,0.05563373213950947,-0.10322289926894684,0.33958151524184377,-1.095071557997358,0.2466475578749083,,,
2000-08-31,,,0.20752725153394178,0.019606484302430446,-0.744081131033919,0.7224576955915669,0.4909460913891054,,,
2000-09-30,,,0.014900292702280458,0.18475808879639866,0.6077429417723422,2.1750966425498826,-0.24194950915348148,,,
2000-10-31,,,0.026288762214687605,0.04297986083731762,0.06549620521541254,-0.10901516637540225,0.2466475578749083,,,
2000-11-30,,,-0.09651273322974996,0.14000032764553624,0.33283845077342944,-0.2704366580580739,-0.24194950915348148,,,
2000-12-31,,,0.09351588680228068,0.23258662942113073,-0.20519540143204545,-0.029211296841084693,-0.24194950915348365,,,
2001-01-31,,,-0.15916949758308155,-0.321420480577548,-1.5477766844957719,1.0081810177291894,0.2466475578749105,,,
2001-02-28,,,-0.20033048147602908,-0.2088297994232025,0.8689262134388747,0.28394098756874026,0.2466475578749083,,,0.10395667249780023
2001-03-31,,,-0.10763729636904269,-0.09450635776248568,0.3286805466006296,-0.0346400322415278,0.2466475578749083,,,-0.705179016690843
2001-04-30,,,-0.26181330105647,0.12039563985672418,1.3884960955309875,0.43670009976771035,0.0023490243607134195,,,1.715134978275051
2001-05-31,,,0.26967041318628837,0.04765646365291518,1.63822924503527,-0.9019172615007333,-0.24194950915348148,,,1.540172520807631
2001-06-30,,,-0.25919472321821757,-0.3069199527196049,-0.2106324520829924,-1.2212605233163574,0.4909460913891054,,,-0.7319500490789614
2001-07-31,,,-0.32723183218148844,0.04690977173813743,-1.2624145329152727,-1.8674209373346928,-0.24194950915348365,,,0.5144041363549356
2001-08-31,,,0.17068319640370427,-0.11400362741125646,-0.47337787838479733,0.04969582295239398,0.2466475578749105,,,-1.5196939320135445
2001-09-30,,,-0.7362399397251403,0.05031668705188599,0.05291334984387048,2.2644030062041174,0.0023490243607134195,,,-1.2810590825607504
2001-10-31,,,0.2952035833279813,-0.09991870940544474,-1.7911150371096314,-0.2725293157523643,0.2466475578749083,,,-0.36573470415527404
2001-11-30,,,0.48835784265001453,-0.030887958692167185,-2.8623195897828317,0.27516796894634843,0.4909460913891054,,,-0.2829723143080906
2001-12-31,,,-0.29359370086979464,-0.31383342506580675,0.05940409923636683,0.35000937237987817,1.468140225445887,,,1.3749618036427405
2002-01-31,,,0.9354885858053197,0.2688281014119665,0.05831121236121443,0.7323271989133002,-0.24194950915348148,,,-0.33614566835788046
2002-02-28,,,0.3838685716288292,0.039111040950442336,1.1151766803602334,0.033817518924895845,-0.24194950915348148,,,-0.0925477091623021
2002-03-31,,,-0.28472300610282864,0.44646058279841366,1.3677139677751642,0.03273137157701957,0.0023490243607134195,,,2.0380011347727236
2002-04-30,,,0.5589726142724543,0.2170823072877195,1.0943588013133092,-0.1212815721168764,-0.48624804266767857,,,-0.01005790188787485
2002-05-31,,,-0.017210401125626097,0.26790076083249786,0.04710089259212197,-1.5807000272370177,0.2466475578749083,,,-0.32425474742995475
2002-06-30,,,-0.05519451362068496,0.32253856060530395,0.046057848264061306,-0.7375761514553281,-0.48624804266767857,,,-0.9552755024400544
2002-07-31,,,0.2302995230588311,0.15965664956194742,1.0787126326915077,-1.908378883967917,0.0023490243607134195,,,-0.7335513070909672
2002-08-31,,,0.21432391786145644,0.4683735640377449,0.5562097349705157,0.19610880762232183,-0.4862480426676764,,,-0.9441167356689325
2002-09-30,,,-0.411154582499274,-0.14265291911446487,-0.47337787838479733,2.428459291589844,0.4909460913891032,,,-1.3197743672497242
2002-10-31,,,0.4508768160819309,-0.030045293075751003,0.2961378006800394,-0.5804678991819707,0.0023490243607134195,,,1.4356153765553321
2002-11-30,,,-0.22161084076866228,0.21611793862712453,0.2938600005681398,0.10753724556530563,-0.24194950915348148,,,-0.18002893789600946
2002-12-31,,,-0.4865351050419743,0.2824209612657168,-1.4968672273952595,-0.4273201950864809,0.2466475578749083,,,-0.6668238833721587
2003-01-31,,,0.3634476132640018,0.009268095042677555,1.8238159543356316,1.0917292039621178,-0.24194950915348148,,,0.005441775275159704
2003-02-28,,,0.09624972006308329,0.2796668425152142,1.5516194592295742,0.026131753754296553,0.0023490243607134195,,,0.32830793177282735
2003-03-31,,,-0.28107885916405784,-0.07263537838101039,0.2819359368732043,-0.577159851049719,-0.24194950915348148,,,-0.04758738654411495
2003-04-30,,,-0.5161160532071454,-0.2480312443992866,-2.2392128209582736,-0.2755768754848035,0.4909460913891032,,,0.35477872828370066
2003-05-31,,,0.13056460777974263,-0.2617261954263708,-0.2203780136402693,-0.7285586271350318,0.4909460913891054,,,-2.157945367734081
2003-06-30,,,0.13292344044820079,0.24256253929459573,-0.47337787838479733,-1.7189485351562952,-0.48624804266767857,,,-2.17996266539908
2003-07-31,,,0.36393260651794657,0.021150816147493198,-0.22062472246997147,-0.7334440101918536,0.2466475578749105,,,2.3216990191175
2003-08-31,,,-1.17194450756939,-0.19793468846345125,0.28340613616734867,0.41280333163439387,0.2466475578749083,,,1.302948648295504
2003-09-30,,,1.1002208984185602,0.1239939179957052,0.029920028977192602,2.736501214620747,0.2466475578749105,,,-0.7989276693621372
